Suburb,Address,Rooms,Type,Price,SellerG,Date,Region name ,Distance,CouncilArea,Bedrooms,Bathroom,Car,Property Count
Greensborough,109 Delta Rd,4,h,812000.0,Barry,01-04-2017,Northern Metropolitan,16.1,Banyule City Council,2.0,1.0,1.0,8524
Greensborough,207 Hickling Av,3,h,782000.0,Buckingham,01-04-2017,Northern Metropolitan,16.1,Banyule City Council,3.0,1.0,3.0,8524
Greensborough,2/18 Lorimer St,4,h,680000.0,Barry,01-04-2017,Northern Metropolitan,16.1,Banyule City Council,3.0,1.0,2.0,8524
Greenvale,2 Wichill Cl,4,h,632000.0,Jason,01-04-2017,Northern Metropolitan,20.4,Hume City Council,3.0,2.0,1.0,4864
Hadfield,30 Tristan Ct,3,h,473000.0,Nelson,01-04-2017,Northern Metropolitan,11.2,Moreland City Council,3.0,1.0,1.0,2606
Hampton,21 Grout St,3,h,2288500.0,Hodges,01-04-2017,Southern Metropolitan,13.8,Bayside City Council,3.0,1.0,3.0,5454
Hawthorn,1/472 Glenferrie Rd,2,u,620000.0,hockingstuart,01-04-2017,Southern Metropolitan,5.3,Boroondara City Council,4.0,2.0,5.0,11308
Hawthorn,9/578 Glenferrie Rd,2,u,600000.0,Marshall,01-04-2017,Southern Metropolitan,5.3,Boroondara City Council,3.0,1.0,3.0,11308
Heidelberg,9/106 Brown St,2,u,655000.0,Miles,01-04-2017,Eastern Metropolitan,8.9,Banyule City Council,4.0,1.0,4.0,2890
Highett,2 Hazel Av,3,h,1322000.0,Buxton,01-04-2017,Southern Metropolitan,16.0,Bayside City Council,3.0,2.0,2.0,4794
Hoppers Crossing,98 Barber Dr,4,h,715000.0,Greg,01-04-2017,Western Metropolitan,18.4,Wyndham City Council,4.0,1.0,4.0,13830
Ivanhoe,3/6 Merton St,2,u,660000.0,Miles,01-04-2017,Eastern Metropolitan,7.8,Banyule City Council,3.0,1.0,3.0,5549
Ivanhoe,4 Meryton La,3,h,1977000.0,Miles,01-04-2017,Eastern Metropolitan,7.8,Banyule City Council,1.0,1.0,1.0,5549
Ivanhoe,123 Valentine St,4,h,1275000.0,Haughton,01-04-2017,Eastern Metropolitan,7.8,Banyule City Council,3.0,1.0,3.0,5549
Ivanhoe East,30 Townsend St,3,h,1781000.0,Nelson,01-04-2017,Eastern Metropolitan,7.8,Banyule City Council,3.0,1.0,2.0,1554
Jacana,42 Hales Cr,3,h,575000.0,YPA,01-04-2017,Northern Metropolitan,14.0,Hume City Council,4.0,2.0,4.0,851
Jacana,14 Landy Rd,3,h,542000.0,Barry,01-04-2017,Northern Metropolitan,14.0,Hume City Council,5.0,2.0,2.0,851
Keilor East,3 Ash Gr,3,h,950000.0,Nelson,01-04-2017,Western Metropolitan,11.7,Brimbank City Council,3.0,1.0,1.0,5629
Keilor East,20 Border Dr,4,h,850000.0,Nelson,01-04-2017,Western Metropolitan,11.7,Brimbank City Council,3.0,2.0,1.0,5629
Keilor East,42a Wonganella Dr,3,u,680000.0,Brad,01-04-2017,Western Metropolitan,11.7,Brimbank City Council,2.0,1.0,2.0,5629
Kensington,202/60 Speakmen St,1,u,325000.0,Edward,01-04-2017,Northern Metropolitan,3.4,Melbourne City Council,3.0,2.0,3.0,5263
Kensington,141 Stockmans Wy,4,h,1103000.0,Jellis,01-04-2017,Northern Metropolitan,3.4,Melbourne City Council,4.0,1.0,2.0,5263
Kew,4/178 Brougham St,2,u,653000.0,Jellis,01-04-2017,Southern Metropolitan,5.4,Boroondara City Council,4.0,1.0,3.0,10331
Kew,119 Derby St,3,h,2000000.0,Noel,01-04-2017,Southern Metropolitan,5.4,Boroondara City Council,4.0,1.0,4.0,10331
Kew,9 Kellett Gr,4,h,2315000.0,Marshall,01-04-2017,Southern Metropolitan,5.4,Boroondara City Council,2.0,1.0,1.0,10331
Kew,36 Normanby Rd,3,h,2155000.0,Marshall,01-04-2017,Southern Metropolitan,5.4,Boroondara City Council,2.0,1.0,1.0,10331
Kew,15/152 Princess St,3,u,830000.0,Jellis,01-04-2017,Southern Metropolitan,5.4,Boroondara City Council,2.0,1.0,1.0,10331
Kew East,6 Meldrum St,4,h,1770000.0,Jellis,01-04-2017,Southern Metropolitan,7.3,Boroondara City Council,3.0,2.0,2.0,2671
Keysborough,12 Warragamba Ct,3,h,600000.0,Ray,01-04-2017,South-Eastern Metropolitan,25.2,Greater Dandenong City Council,3.0,2.0,2.0,8459
MacLeod,23 Lookout Ri,4,h,1120000.0,Miles,01-04-2017,Northern Metropolitan,12.7,Banyule City Council,2.0,1.0,2.0,4168
MacLeod,2/12 Oban Wy,3,u,710000.0,Darren,01-04-2017,Northern Metropolitan,12.7,Banyule City Council,2.0,1.0,1.0,4168
Malvern,12/9 Ascot St,1,u,360000.0,Sotheby's,01-04-2017,Southern Metropolitan,5.9,Stonnington City Council,1.0,1.0,0.0,4675
Malvern,21 Embling Rd,4,h,2400000.0,Marshall,01-04-2017,Southern Metropolitan,5.9,Stonnington City Council,2.0,1.0,1.0,4675
Malvern,9/423 Glenferrie Rd,3,h,1350000.0,Kay,01-04-2017,Southern Metropolitan,5.9,Stonnington City Council,3.0,2.0,1.0,4675
Malvern East,12 Darling Rd,3,h,2000000.0,Woodards,01-04-2017,Southern Metropolitan,8.4,Stonnington City Council,3.0,2.0,2.0,8801
Malvern East,2/37 Darling Rd,3,t,1150000.0,Marshall,01-04-2017,Southern Metropolitan,8.4,Stonnington City Council,4.0,2.0,2.0,8801
Maribyrnong,11/97 Raleigh Rd,2,u,330000.0,Raine,01-04-2017,Western Metropolitan,4.3,Maribyrnong City Council,8.0,2.0,2.0,4918
Maribyrnong,7 Woodruff Av,5,h,1425000.0,Nelson,01-04-2017,Western Metropolitan,4.3,Maribyrnong City Council,4.0,1.0,2.0,4918
McKinnon,209/66 Bent St,3,u,875000.0,Buxton,01-04-2017,Southern Metropolitan,11.4,Glen Eira City Council,3.0,2.0,1.0,2397
McKinnon,5 Fitzroy St,2,h,1265000.0,Buxton,01-04-2017,Southern Metropolitan,11.4,Glen Eira City Council,2.0,1.0,1.0,2397
McKinnon,48 Lees St,3,h,1200000.0,Buxton,01-04-2017,Southern Metropolitan,11.4,Glen Eira City Council,2.0,2.0,2.0,2397
Meadow Heights,14 Ironbark Ct,3,h,520000.0,Harcourts,01-04-2017,Northern Metropolitan,17.4,Hume City Council,4.0,2.0,2.0,4704
Melbourne,66/538 Little Lonsdale St,2,u,605000.0,McGrath,01-04-2017,Northern Metropolitan,0.0,Melbourne City Council,2.0,2.0,1.0,17496
Melbourne,814/70 Queens Rd,2,u,649000.0,hockingstuart,01-04-2017,Northern Metropolitan,0.0,Melbourne City Council,2.0,1.0,1.0,17496
Melton,19 Joan St,3,h,431000.0,Raine,01-04-2017,Western Victoria,31.7,Melton City Council,3.0,1.0,1.0,3600
Mentone,13 Coolabah St,4,h,1300000.0,Buxton,01-04-2017,South-Eastern Metropolitan,20.0,Kingston City Council,2.0,2.0,1.0,6162
Mentone,5/30 Riviera St,1,u,337000.0,hockingstuart,01-04-2017,South-Eastern Metropolitan,20.0,Kingston City Council,3.0,4.0,2.0,6162
Mernda,5 Vasari Gdns,4,h,525500.0,Harcourts,01-04-2017,Northern Metropolitan,25.9,Whittlesea City Council,1.0,1.0,1.0,5812
Middle Park,19/109 Nimmo St,2,u,800000.0,hockingstuart,01-04-2017,Southern Metropolitan,3.0,Port Phillip City Council,4.0,2.0,2.0,2019
Mill Park,1/12 Buckmaster Dr,3,h,425000.0,Love,01-04-2017,Northern Metropolitan,17.9,Whittlesea City Council,2.0,2.0,2.0,10529
Mill Park,33 Buckmaster Dr,3,h,595500.0,Harcourts,01-04-2017,Northern Metropolitan,17.9,Whittlesea City Council,3.0,2.0,0.0,10529
Mill Park,6 Hinkler Dr,3,h,660000.0,Nelson,01-04-2017,Northern Metropolitan,17.9,Whittlesea City Council,2.0,1.0,1.0,10529
Mitcham,12 Milne St,3,h,1300000.0,Noel,01-04-2017,Eastern Metropolitan,17.2,Whitehorse City Council,2.0,1.0,0.0,6871
Montmorency,16 Davey Rd,3,h,820000.0,Fletchers,01-04-2017,Eastern Metropolitan,16.2,Banyule City Council,4.0,2.0,2.0,3891
Montmorency,373 Main Rd,3,h,725000.0,hockingstuart/hockingstuart,01-04-2017,Eastern Metropolitan,16.2,Banyule City Council,3.0,2.0,3.0,3891
Moonee Ponds,67 Bowen St,2,h,1180000.0,Nelson,01-04-2017,Western Metropolitan,6.2,Moonee Valley City Council,2.0,2.0,2.0,6232
Moonee Ponds,1 Lawson St,2,h,910000.0,Brad,01-04-2017,Western Metropolitan,6.2,Moonee Valley City Council,3.0,2.0,1.0,6232
Moonee Ponds,33 Lennox St,3,h,887500.0,Rendina,01-04-2017,Western Metropolitan,6.2,Moonee Valley City Council,1.0,1.0,0.0,6232
Moonee Ponds,6 Lethbridge St,3,h,1143000.0,Brad,01-04-2017,Western Metropolitan,6.2,Moonee Valley City Council,3.0,2.0,1.0,6232
Moonee Ponds,51 Wordsworth St,3,h,1330000.0,Jellis,01-04-2017,Western Metropolitan,6.2,Moonee Valley City Council,4.0,1.0,2.0,6232
Moorabbin,52 Marrbridge Rd,5,h,1410000.0,Woodards,01-04-2017,Southern Metropolitan,14.3,Kingston City Council,1.0,1.0,1.0,2555
Moorabbin,2/1015 Nepean Hwy,1,t,457500.0,Buxton,01-04-2017,Southern Metropolitan,14.3,Kingston City Council,3.0,1.0,2.0,2555
Mooroolbark,5 Chaucer St,3,h,778000.0,Hoskins,01-04-2017,Eastern Victoria,26.5,Yarra Ranges Shire Council,2.0,1.0,1.0,8280
Mordialloc,8 Rivette St,3,h,895000.0,Buxton,01-04-2017,South-Eastern Metropolitan,21.5,Kingston City Council,3.0,1.0,4.0,3650
Mordialloc,1 Winterset Cl,4,h,1300000.0,O'Brien,01-04-2017,South-Eastern Metropolitan,21.5,Kingston City Council,3.0,1.0,2.0,3650
Mount Waverley,4/1 Adrienne Cr,2,u,568888.0,Ray,01-04-2017,Eastern Metropolitan,14.2,Monash City Council,5.0,3.0,4.0,13366
Mount Waverley,16 Amber Gr,5,h,3105000.0,Ray,01-04-2017,Eastern Metropolitan,14.2,Monash City Council,2.0,2.0,2.0,13366
Mount Waverley,7 Bambra Ct,4,h,1500000.0,Buxton,01-04-2017,Eastern Metropolitan,14.2,Monash City Council,3.0,1.0,2.0,13366
Mount Waverley,5 Byrd Ct,3,t,1030000.0,Buxton,01-04-2017,Eastern Metropolitan,14.2,Monash City Council,3.0,3.0,1.0,13366
Mount Waverley,9 Larch Cr,3,h,1360000.0,Barry,01-04-2017,Eastern Metropolitan,14.2,Monash City Council,2.0,1.0,1.0,13366
Mount Waverley,44 Smyth St,4,h,980000.0,Barry,01-04-2017,Eastern Metropolitan,14.2,Monash City Council,3.0,2.0,1.0,13366
Mount Waverley,13 Toirram Rd,5,h,1601000.0,Harcourts,01-04-2017,Eastern Metropolitan,14.2,Monash City Council,2.0,1.0,1.0,13366
Mount Waverley,8 Wadham Pde,4,h,1780000.0,Barry,01-04-2017,Eastern Metropolitan,14.2,Monash City Council,3.0,2.0,2.0,13366
Mulgrave,20 Brunton Cr,3,h,630000.0,Ray,01-04-2017,South-Eastern Metropolitan,18.8,Monash City Council,2.0,1.0,1.0,7113
Mulgrave,4 Fiji Ct,5,h,880000.0,Ray,01-04-2017,South-Eastern Metropolitan,18.8,Monash City Council,3.0,1.0,1.0,7113
Mulgrave,35 Merrill St,3,h,920000.0,Ray,01-04-2017,South-Eastern Metropolitan,18.8,Monash City Council,3.0,1.0,2.0,7113
Murrumbeena,11 Adams St,4,h,1550000.0,Gary,01-04-2017,Southern Metropolitan,10.1,Glen Eira City Council,3.0,2.0,2.0,4442
Murrumbeena,1/11 Howe St,2,u,720000.0,Buxton,01-04-2017,Southern Metropolitan,10.1,Glen Eira City Council,2.0,3.0,2.0,4442
Murrumbeena,1/5 Murrumbeena Rd,2,u,586500.0,Marshall,01-04-2017,Southern Metropolitan,10.1,Glen Eira City Council,2.0,2.0,1.0,4442
Narre Warren,7 Feldspar Ct,3,h,551000.0,Schroeder,01-04-2017,South-Eastern Metropolitan,34.1,Casey City Council,1.0,1.0,1.0,9376
Narre Warren,13 Greg Ct,4,h,510000.0,Benchmark,01-04-2017,South-Eastern Metropolitan,34.1,Casey City Council,2.0,1.0,0.0,9376
Newport,18 Latrobe St,3,h,1270000.0,RT,01-04-2017,Western Metropolitan,6.2,Hobsons Bay City Council,1.0,1.0,1.0,5498
Noble Park,2 Parramatta Cr,4,h,710000.0,iSell,01-04-2017,South-Eastern Metropolitan,22.7,Greater Dandenong City Council,2.0,1.0,1.0,11806
North Melbourne,18 Molesworth St,6,h,1815000.0,Woodards,01-04-2017,Northern Metropolitan,1.8,Melbourne City Council,2.0,1.0,1.0,6821
North Melbourne,2/150 Peel St,1,u,420000.0,Jellis,01-04-2017,Northern Metropolitan,1.8,Melbourne City Council,2.0,1.0,1.0,6821
Northcote,268 Clarke St,2,h,1200000.0,Nelson,01-04-2017,Northern Metropolitan,5.3,Darebin City Council,3.0,2.0,2.0,11364
Northcote,4/54 Cunningham St,1,u,345000.0,Woodards,01-04-2017,Northern Metropolitan,5.3,Darebin City Council,3.0,1.0,2.0,11364
Northcote,3/49 James St,3,t,1075000.0,McGrath,01-04-2017,Northern Metropolitan,5.3,Darebin City Council,3.0,1.0,2.0,11364
Northcote,72 Thomson St,3,h,1332000.0,Collins,01-04-2017,Northern Metropolitan,5.3,Darebin City Council,2.0,1.0,1.0,11364
Oak Park,18 Kerr Av,3,h,857000.0,Eview,01-04-2017,Northern Metropolitan,11.2,Moreland City Council,4.0,1.0,2.0,2651
Oak Park,11 Vincent St,4,h,945000.0,Barry,01-04-2017,Northern Metropolitan,11.2,Moreland City Council,4.0,3.0,3.0,2651
Oakleigh,5/28 Devon Gr,4,t,986000.0,Ray,01-04-2017,Southern Metropolitan,12.3,Monash City Council,3.0,1.0,2.0,3224
Oakleigh South,19 Delos St,2,h,1120000.0,Woodards,01-04-2017,South-Eastern Metropolitan,15.5,Kingston City Council,3.0,2.0,2.0,3692
Oakleigh South,1/1 Wallace Av,3,u,710000.0,Ray,01-04-2017,South-Eastern Metropolitan,15.5,Kingston City Council,2.0,1.0,1.0,3692
Ormond,10/30 Lillimur Rd,2,u,420000.0,Woodards,01-04-2017,Southern Metropolitan,11.4,Glen Eira City Council,2.0,1.0,2.0,3578
Ormond,8/38 Lillimur Rd,2,u,490000.0,Buxton,01-04-2017,Southern Metropolitan,11.4,Glen Eira City Council,4.0,3.0,4.0,3578
Ormond,2/31 Wheeler St,3,t,1100000.0,hockingstuart,01-04-2017,Southern Metropolitan,11.4,Glen Eira City Council,2.0,1.0,1.0,3578
Parkdale,5 Fourth St,3,h,1260000.0,Thomson,01-04-2017,South-Eastern Metropolitan,21.5,Kingston City Council,3.0,2.0,1.0,5087
Parkdale,69 McSwain St,3,h,1200000.0,hockingstuart,01-04-2017,South-Eastern Metropolitan,21.5,Kingston City Council,2.0,1.0,4.0,5087
Parkville,1/238 The Avenue,1,u,668000.0,Jellis,01-04-2017,Northern Metropolitan,1.8,Melbourne City Council,5.0,2.0,2.0,2309
Pascoe Vale,15 Alexandra St,4,h,945000.0,Brad,01-04-2017,Northern Metropolitan,8.5,Moreland City Council,3.0,1.0,1.0,7485
Pascoe Vale,2/79 Bolingbroke St,2,t,650000.0,Alexkarbon,01-04-2017,Northern Metropolitan,8.5,Moreland City Council,1.0,1.0,1.0,7485
Pascoe Vale,2 Essex St,4,h,1510000.0,Peter,01-04-2017,Northern Metropolitan,8.5,Moreland City Council,2.0,0.0,0.0,7485
Pascoe Vale,6/422 Gaffney St,2,t,522000.0,Brad,01-04-2017,Northern Metropolitan,8.5,Moreland City Council,3.0,1.0,1.0,7485
Pascoe Vale,3/6 Olive Gr,3,u,760000.0,Nelson,01-04-2017,Northern Metropolitan,8.5,Moreland City Council,2.0,1.0,1.0,7485
Pascoe Vale,4 Stennis St,3,h,930000.0,Nelson,01-04-2017,Northern Metropolitan,8.5,Moreland City Council,3.0,1.0,2.0,7485
Patterson Lakes,11/41 Gladesville Bvd,3,t,645000.0,Hodges,01-04-2017,South-Eastern Metropolitan,31.2,Kingston City Council,3.0,1.0,2.0,3351
Point Cook,52 Lancaster Dr,3,h,641000.0,hockingstuart,01-04-2017,Western Metropolitan,14.7,Wyndham City Council,2.0,1.0,1.0,15542
Point Cook,30 Seagrass Cr,4,h,720000.0,hockingstuart,01-04-2017,Western Metropolitan,14.7,Wyndham City Council,3.0,1.0,2.0,15542
Port Melbourne,196 Nott St,3,h,1400000.0,Chisholm,01-04-2017,Southern Metropolitan,3.5,Melbourne City Council,3.0,2.0,2.0,8648
Port Melbourne,6/117 Rouse St,4,t,2090000.0,Marshall,01-04-2017,Southern Metropolitan,3.5,Melbourne City Council,2.0,1.0,1.0,8648
Port Melbourne,511/166 Rouse St,1,u,505000.0,Hodges,01-04-2017,Southern Metropolitan,3.5,Melbourne City Council,4.0,3.0,1.0,8648
Port Melbourne,37 The Bend,3,h,1650000.0,Frank,01-04-2017,Southern Metropolitan,3.5,Melbourne City Council,3.0,1.0,2.0,8648
Prahran,4/10 Highbury grove,1,u,311000.0,hockingstuart,01-04-2017,Southern Metropolitan,4.6,Stonnington City Council,3.0,2.0,2.0,7717
Prahran,10 Murray St,2,h,1325000.0,hockingstuart,01-04-2017,Southern Metropolitan,4.6,Stonnington City Council,2.0,1.0,1.0,7717
Prahran,501/36 Porter St,2,u,940000.0,Matthew,01-04-2017,Southern Metropolitan,4.6,Stonnington City Council,2.0,1.0,1.0,7717
Preston,2/177 Bell St,3,t,893000.0,Barry,01-04-2017,Northern Metropolitan,8.4,Darebin City Council,2.0,1.0,1.0,14577
Preston,8/466 Bell St,2,u,410000.0,Nelson,01-04-2017,Northern Metropolitan,8.4,Darebin City Council,3.0,1.0,1.0,14577
Preston,20 Opal St,3,t,640000.0,Nelson,01-04-2017,Northern Metropolitan,8.4,Darebin City Council,3.0,1.0,2.0,14577
Preston,15 Osborne Gr,3,h,1239500.0,Barry,01-04-2017,Northern Metropolitan,8.4,Darebin City Council,2.0,1.0,1.0,14577
Preston,4 Tyler St,2,h,530000.0,Love,01-04-2017,Northern Metropolitan,8.4,Darebin City Council,2.0,1.0,1.0,14577
Reservoir,2 Botha Av,3,h,610000.0,Love,01-04-2017,Northern Metropolitan,12.0,Darebin City Council,2.0,1.0,1.0,21650
Reservoir,2 Colthur St,2,h,710000.0,Nelson,01-04-2017,Northern Metropolitan,12.0,Darebin City Council,3.0,2.0,2.0,21650
Reservoir,1/60 Dundee St,1,u,357500.0,Ray,01-04-2017,Northern Metropolitan,12.0,Darebin City Council,3.0,1.0,2.0,21650
Reservoir,1/23 Glasgow Av,2,u,560000.0,Nelson,01-04-2017,Northern Metropolitan,12.0,Darebin City Council,4.0,1.0,2.0,21650
Reservoir,2/42 Harbury St,2,u,390000.0,Ray,01-04-2017,Northern Metropolitan,12.0,Darebin City Council,2.0,1.0,1.0,21650
Reservoir,33 Lane Cr,2,h,846000.0,Love,01-04-2017,Northern Metropolitan,12.0,Darebin City Council,2.0,1.0,1.0,21650
Reservoir,5 McIvor St,5,h,1100000.0,Barry,01-04-2017,Northern Metropolitan,12.0,Darebin City Council,3.0,2.0,2.0,21650
Reservoir,3/56 Orrong Av,2,t,655000.0,Nelson,01-04-2017,Northern Metropolitan,12.0,Darebin City Council,2.0,1.0,1.0,21650
Reservoir,2/94 Purinuan Rd,2,h,520000.0,hockingstuart,01-04-2017,Northern Metropolitan,12.0,Darebin City Council,4.0,1.0,2.0,21650
Reservoir,26 Whitelaw St,3,h,886500.0,Ray,01-04-2017,Northern Metropolitan,12.0,Darebin City Council,2.0,1.0,0.0,21650
Richmond,40 Abinger St,2,h,1110000.0,Collins,01-04-2017,Northern Metropolitan,2.4,Yarra City Council,2.0,1.0,1.0,14949
Richmond,106/1 Barnet Wy,2,u,906000.0,Jellis,01-04-2017,Northern Metropolitan,2.4,Yarra City Council,3.0,1.0,2.0,14949
Richmond,1A Benson St,2,t,1100000.0,Marshall,01-04-2017,Northern Metropolitan,2.4,Yarra City Council,4.0,2.0,3.0,14949
Richmond,4/25 Coppin St,1,u,550000.0,Jellis,01-04-2017,Northern Metropolitan,2.4,Yarra City Council,3.0,2.0,2.0,14949
Richmond,30/81 Edinburgh St,2,u,514500.0,hockingstuart,01-04-2017,Northern Metropolitan,2.4,Yarra City Council,3.0,2.0,2.0,14949
Richmond,11 Shaw St,3,h,1619000.0,Jellis,01-04-2017,Northern Metropolitan,2.4,Yarra City Council,3.0,2.0,2.0,14949
Ringwood East,37 Holland Rd,4,h,901000.0,Fletchers,01-04-2017,Eastern Metropolitan,21.3,Maroondah City Council,4.0,2.0,5.0,4407
Ringwood East,12 Shasta Av,3,h,700000.0,Philip,01-04-2017,Eastern Metropolitan,21.3,Maroondah City Council,3.0,2.0,2.0,4407
Rowville,7 Montague Ct,4,h,868200.0,McGrath,01-04-2017,South-Eastern Metropolitan,23.5,Knox City Council,3.0,3.0,1.0,11667
Roxburgh Park,6 Korab Pl,4,h,448000.0,Fletchers,01-04-2017,Northern Metropolitan,20.6,Hume City Council,3.0,2.0,2.0,5833
Roxburgh Park,15 Reading Cl,3,h,393500.0,Raine,01-04-2017,Northern Metropolitan,20.6,Hume City Council,4.0,2.0,2.0,5833
Sandringham,8 Sims St,3,h,1450000.0,Buxton,01-04-2017,Southern Metropolitan,15.2,Bayside City Council,5.0,2.0,2.0,4497
Scoresby,19 Pamela Ct,3,h,821000.0,Ray,01-04-2017,Eastern Metropolitan,22.2,Knox City Council,2.0,2.0,1.0,2206
Seaford,3 Smale Ct,4,h,701000.0,U,01-04-2017,South-Eastern Metropolitan,35.4,Frankston City Council,2.0,1.0,1.0,8077
Seddon,161 Buckley St,3,h,865500.0,Village,01-04-2017,Western Metropolitan,5.1,Maribyrnong City Council,2.0,2.0,1.0,2417
Seddon,6/294 Nicholson St,2,u,362000.0,Village,01-04-2017,Western Metropolitan,5.1,Maribyrnong City Council,3.0,1.0,2.0,2417
South Melbourne,48a Napier St,2,u,651000.0,Cayzer,01-04-2017,Southern Metropolitan,1.9,Port Phillip City Council,6.0,2.0,3.0,5943
South Morang,226 Gordons Rd,4,h,711000.0,Harcourts,01-04-2017,Northern Metropolitan,20.5,Whittlesea City Council,2.0,1.0,1.0,7969
South Morang,10 Howatt Pl,4,h,560000.0,Stockdale,01-04-2017,Northern Metropolitan,20.5,Whittlesea City Council,2.0,1.0,1.0,7969
South Morang,1/18 Old Plenty Rd,3,t,387000.0,Stockdale,01-04-2017,Northern Metropolitan,20.5,Whittlesea City Council,4.0,2.0,0.0,7969
South Morang,11 Peer St,5,h,920000.0,Iconek,01-04-2017,Northern Metropolitan,20.5,Whittlesea City Council,2.0,1.0,1.0,7969
South Morang,4 Tiara Dr,4,h,706000.0,hockingstuart,01-04-2017,Northern Metropolitan,20.5,Whittlesea City Council,4.0,3.0,4.0,7969
South Yarra,6/38 Arnold St,1,u,480000.0,Biggin,01-04-2017,Southern Metropolitan,2.7,Melbourne City Council,3.0,1.0,2.0,14887
South Yarra,801/45 Claremont St,2,u,495000.0,hockingstuart,01-04-2017,Southern Metropolitan,2.7,Melbourne City Council,3.0,2.0,2.0,14887
South Yarra,14/43 Rockley Rd,2,u,705000.0,hockingstuart,01-04-2017,Southern Metropolitan,2.7,Melbourne City Council,3.0,1.0,1.0,14887
South Yarra,11/12 William St,1,u,392000.0,Hodges,01-04-2017,Southern Metropolitan,2.7,Melbourne City Council,4.0,2.0,1.0,14887
Southbank,1902/63 Whiteman St,2,u,630000.0,MICM,01-04-2017,Southern Metropolitan,0.7,Melbourne City Council,3.0,2.0,1.0,8400
Spotswood,5/11 Cullen Ct,3,t,667500.0,Compton,01-04-2017,Western Metropolitan,6.2,Hobsons Bay City Council,3.0,1.0,1.0,1223
Springvale,2 Gray St,3,h,860000.0,iSell,01-04-2017,South-Eastern Metropolitan,20.8,Greater Dandenong City Council,2.0,1.0,1.0,7412
St Albans,25 Edgerunner Cct,4,h,860000.0,FN,01-04-2017,Western Metropolitan,14.0,Brimbank City Council,4.0,1.0,1.0,14042
St Albans,68 Perrett Av,3,h,605000.0,YPA,01-04-2017,Western Metropolitan,14.0,Brimbank City Council,3.0,2.0,2.0,14042
St Albans,76 Stradbroke Dr,3,h,645000.0,Sweeney,01-04-2017,Western Metropolitan,14.0,Brimbank City Council,3.0,2.0,2.0,14042
St Albans,210 William St,1,h,1100000.0,Ray,01-04-2017,Western Metropolitan,14.0,Brimbank City Council,3.0,1.0,3.0,14042
St Kilda,407/3 Greeves St,3,u,640000.0,Gary,01-04-2017,Southern Metropolitan,5.0,Port Phillip City Council,3.0,2.0,1.0,13240
Strathmore,3/7 Lloyd St,3,t,890000.0,Barry,01-04-2017,Western Metropolitan,8.2,Moonee Valley City Council,2.0,1.0,1.0,3284
Strathmore,39 Willonga St,4,h,1301000.0,Brad,01-04-2017,Western Metropolitan,8.2,Moonee Valley City Council,3.0,1.0,3.0,3284
Sunshine,10 Alfred St,3,h,890000.0,Douglas,01-04-2017,Western Metropolitan,10.5,Brimbank City Council,3.0,2.0,2.0,3755
Sunshine,3/1 McGrath St,2,u,430000.0,Barry,01-04-2017,Western Metropolitan,10.5,Brimbank City Council,4.0,1.0,4.0,3755
Sunshine,3 Neil St,3,h,1200000.0,Sweeney,01-04-2017,Western Metropolitan,10.5,Brimbank City Council,3.0,1.0,1.0,3755
Sunshine,110 Wright St,3,h,612000.0,Biggin,01-04-2017,Western Metropolitan,10.5,Brimbank City Council,3.0,2.0,2.0,3755
Sunshine North,13 Balcombe St,3,h,732000.0,Barry,01-04-2017,Western Metropolitan,10.5,Brimbank City Council,2.0,1.0,1.0,4217
Sunshine North,9 Ryan Ct,4,h,861800.0,Douglas,01-04-2017,Western Metropolitan,10.5,Brimbank City Council,3.0,2.0,1.0,4217
Sunshine West,4A Gayle Cl,4,t,630000.0,Bells,01-04-2017,Western Metropolitan,10.5,Brimbank City Council,3.0,1.0,0.0,6763
Surrey Hills,11 Shepherd St,4,h,1600000.0,Fletchers,01-04-2017,Southern Metropolitan,10.2,Boroondara City Council,4.0,2.0,4.0,5457
Sydenham,14 Lorinda Cl,5,h,593000.0,Bells,01-04-2017,Western Metropolitan,18.0,Brimbank City Council,4.0,3.0,2.0,3640
Taylors Lakes,2 Strzelecki Ct,4,h,645500.0,Barry,01-04-2017,Western Metropolitan,15.5,Brimbank City Council,3.0,2.0,2.0,5336
Templestowe,3 Bindi Cl,5,h,1952000.0,Barry,01-04-2017,Eastern Metropolitan,15.5,Manningham City Council,3.0,3.0,4.0,6202
Templestowe,102 Dellfield Dr,3,h,1175000.0,Jellis,01-04-2017,Eastern Metropolitan,15.5,Manningham City Council,3.0,1.0,1.0,6202
Templestowe,20 Hillhouse Rd,4,h,1750000.0,Barry,01-04-2017,Eastern Metropolitan,15.5,Manningham City Council,2.0,1.0,1.0,6202
Templestowe,5 Tatterson Ct,4,h,1380000.0,Barry,01-04-2017,Eastern Metropolitan,15.5,Manningham City Council,2.0,1.0,2.0,6202
Templestowe Lower,54 Astley St,5,h,1310000.0,Jellis,01-04-2017,Eastern Metropolitan,12.4,Manningham City Council,3.0,2.0,2.0,5420
Thomastown,4 Cipora Pl,3,h,576000.0,Love,01-04-2017,Northern Metropolitan,15.3,Whittlesea City Council,3.0,3.0,2.0,7955
Thomastown,2/12 Frederick St,3,u,517000.0,Harcourts,01-04-2017,Northern Metropolitan,15.3,Whittlesea City Council,3.0,1.0,2.0,7955
Thomastown,16 Queenscliff Rd,3,h,525000.0,Barry,01-04-2017,Northern Metropolitan,15.3,Whittlesea City Council,9.0,7.0,4.0,7955
